github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
phusion/passenger,1,49823,505,167,4393,4393
ledger/ledger,1,17511,340,625,2927,2927
symengine/symengine,1,8254,186,148,447,447
spring/spring,1,157978,575,7,1670,1670
mongodb/mongo,1,474596,4062,39,16146,16146
knolleary/pubsubclient,1,253,941,313,2147,2147
knolleary/pubsubclient,1,253,941,313,2147,2147
tony2001/pinba_engine,1,4366,45,31,467,467
danmar/cppcheck,1,80420,699,11,2233,2233
facebookarchive/scribe,1,2265,795,50,3754,3754
facebookarchive/scribe,1,2265,795,50,3754,3754
emcrisostomo/fswatch,1,12722,200,39,2814,2814
unetbootin/unetbootin,1,57160,194,159,1174,1174
bruderstein/nppPluginManager,1,12686,215,44,1513,1513
zeromq/libzmq,1,20086,1554,139,5253,5253
VowpalWabbit/vowpal_wabbit,1,125435,1543,67,6370,6370
wkhtmltopdf/wkhtmltopdf,1,6120,1160,772,8261,8261
wkhtmltopdf/wkhtmltopdf,1,6120,1160,773,8262,8262
OpenMW/openmw,1,60475,713,23,2759,2759
niklasso/minisat,1,610,195,29,526,526
acaudwell/Gource,1,3779,544,74,6651,6651
acaudwell/Gource,1,3779,544,74,6651,6651
tstack/lnav,1,9647,153,203,2610,2610
tstack/lnav,1,9647,153,203,2611,2611
apache/thrift,1,24477,2924,17,6369,6369
lsegal/my_toy_compiler,1,39,176,6,588,588
pbhogan/Signals,1,217,40,1,407,407
cowboyd/therubyracer,1,16897,182,75,1616,1616
billmccord/OpenCV-Android,1,1838,165,16,448,448
uncrustify/uncrustify,1,15326,384,185,1919,1919
hluk/CopyQ,1,28212,144,111,1867,1867
openframeworks/openFrameworks,1,1997479,2261,907,6996,6996
nickbnf/glogg,1,3065,104,125,525,525
Lexikos/AutoHotkey_L,1,15818,452,19,2787,2787
acaudwell/Logstalgia,1,4108,139,10,1405,1405
acaudwell/Logstalgia,1,4108,139,10,1405,1405
nolanbrown/Tesseract-iPhone-Demo,1,9848,183,6,465,465
facebook/hhvm,1,352150,2850,863,16034,16034
znc/znc,1,17094,347,335,1606,1606
z3t0/Arduino-IRremote,1,1120,1255,247,2593,2593
z3t0/Arduino-IRremote,1,1120,1255,247,2593,2593
thewtex/tmux-mem-cpu-load,1,235,86,9,605,605
openscenegraph/OpenSceneGraph,1,72304,825,22,1380,1380
idmillington/aicore,1,512,156,9,464,464
adafruit/RTClib,1,85,485,50,475,475
facebook/pyre2,1,42,138,0,511,511
libxmljs/libxmljs,1,2549,186,73,887,887
c-ares/c-ares,1,5522,317,30,875,875
chenshuo/recipes,1,669,640,8,951,951
kelektiv/node.bcrypt.js,1,497,341,24,4538,4538
kelektiv/node.bcrypt.js,1,497,341,24,4538,4538
